"Event H-ID","Start page event","End page event","Page Event Number",Line,"Narrative Status",Conflict,Harmony,Partition,"Characters(s) in Event H-ID","Characters(s) in Event RecordTitle","Location of Event (Text place) H-ID","Location of Event RecordTitle","Text pointer H-ID","Text pointer RecordTitle","Character(s) mentioned H-ID","Character(s) mentioned RecordTitle"
2060,69,69,3,"remembered that when he had abducted Pooro",,Gender|Religion,,FALSE,297|248,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar",2824,"Field in Pinjar",37,Pinjar,297,"Shaikh, Rashida in Pinjar"
2062,70,70,1,"exclaimed Hamida, clasping her hands",,,,FALSE,248|595|580,"Sahukars, Pooro in Pinjar|Lajo's Mother-in-Law, Old Woman in Pinjar|Sahukars, Lajo in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,248|595,"Sahukars, Pooro in Pinjar|Lajo's Mother-in-Law, Old Woman in Pinjar"
2173,82,82,1,"It was a still afternoon. Since morning my aunts",,,,,315|2080|318|317,"Hasan, Abida in Sunlight on a Broken Column|Unknown, Aunt Majida in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",409|321,"Unknown, Baba Jan in Sunlight on a Broken Column|Hasan, Hamid in Sunlight on a Broken Column"
2177,63,66,1,"We were about to sit down to dinner one night",,,,,317|2174|315|316|485|486,"Hasan, Laila in Sunlight on a Broken Column|Unknown, Mushtari Bai in Sunlight on a Broken Column|Hasan, Abida in Sunlight on a Broken Column|Hasan, Majida in Sunlight on a Broken Column|Unknown, Ustaniji in Sunlight on a Broken Column|Unknown, Hajjan Bibi in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",310,"Hasan, Syed Mohammad in Sunlight on a Broken Column"
2178,64,65,1,"It was eight years ago since I had first seen",,,,FALSE,317|2174|481,"Hasan, Laila in Sunlight on a Broken Column|Unknown, Mushtari Bai in Sunlight on a Broken Column|Hasan,Ahmed, in Sunlight on a Broken Column",2176,"Forbidden street in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",317,"Hasan, Laila in Sunlight on a Broken Column"
2179,64,65,2,"I saw her when she sang and danced at the wedding",,Gender,,FALSE,2174|317|2180|2181|2182|2183,"Unknown, Mushtari Bai in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Singers, Unknown in Sunlight on a Broken Column|Servants, Unknown in Sunlight on a Broken Column|Male spectators, Unknown in Sunlight on a Broken Column|Female Spectators, Unknown in Sunlight on a Broken Column",370,"Lucknow, India in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",2184,"Raja of Amripur's grandson, Unknown in Sunlight on a Broken Column"
2197,61,61,2,"The Head Constable, with his posse",,,,TRUE,1138|1452|1207|1212,"Head Constable, Unknown in Train to Pakistan|2 Policemen accompanying Iqbal and Juggut to Police Station in Chundunnugger, Unknown in Train to Pakistan|Group of Prisoners 1, Unknown in Train to Pakistan|Mano Majra Villagers, Unknown in Train to Pakistan",1218,"Peepul Tree near the Temple in Train to Pakistan",28,"Train to Pakistan",112|1475,"Singh, Juggut in Train to Pakistan|Dacoits including Malli who later get arrested., Unknown in Train to Pakistan"
2203,62,62,1,"Did any of you see or talk to a young",,Religion,,FALSE,768|1138,"Singh, Banta in Train to Pakistan|Head Constable, Unknown in Train to Pakistan",1457,"Chundunnugger Police Station in Train to Pakistan",28,"Train to Pakistan",753|998,"Unknown, Iqbal in Train to Pakistan|Baksh, Mullah Imam in Train to Pakistan"
2208,62,62,2,"Meet Singh went up to the head constable",,Religion,Religion,TRUE,758|1138|760|1212,"Singh, Meet in Train to Pakistan|Head Constable, Unknown in Train to Pakistan|Policeman 1 (Gurudwara), Unknown in Train to Pakistan|Mano Majra Villagers, Unknown in Train to Pakistan",1457,"Chundunnugger Police Station in Train to Pakistan",28,"Train to Pakistan",753,"Unknown, Iqbal in Train to Pakistan"
2210,67,70,1,"One night she asked Asad if would read",,Religion,Religion,FALSE,487|485|2202|486|483|484|2207|318|317|319,"Unknown, Asad in Sunlight on a Broken Column|Unknown, Ustaniji in Sunlight on a Broken Column|Maid-servants, Unknown in Sunlight on a Broken Column|Unknown, Hajjan Bibi in Sunlight on a Broken Column|Unknown, Ramzano in Sunlight on a Broken Column|Unknown, Saliman in Sunlight on a Broken Column|Unknown, Zahid in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Unknown, Hakiman in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",315,"Hasan, Abida in Sunlight on a Broken Column"
2211,62,63,3,"Muslims sat and moped in their houses",,Religion,,TRUE,806|1445,"Mano Majra Muslims, Unknown in Train to Pakistan|Mano Majra Sikhs, Unknown in Train to Pakistan",701,"Mano Majra in Train to Pakistan",28,"Train to Pakistan",851,"Sultana Badmash, Unknown in Train to Pakistan"
2212,129,131,2,"Begum Waheed and Mrs Wadia were in the middle of an argument",,Gender,,,1735|1737|1712|416|317,"Unknown, Begum Waheed in Sunlight on a Broken Column|Mrs Wadia, Unknown in Sunlight on a Broken Column|Unknown, Begum Waheeda in Sunlight on a Broken Column|Hasan, Saira in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2219,130,130,1,"We must keep out undesirable elements when the Governor's wife",,Class,,,2213|1737|1735|416,"Governer's Wife, Unknown in Sunlight on a Broken Column|Mrs Wadia, Unknown in Sunlight on a Broken Column|Unknown, Begum Waheed in Sunlight on a Broken Column|Hasan, Saira in Sunlight on a Broken Column",2218,"Public Park in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2220,130,130,2,"We had to fight very hard to make the Municipal Board",,Gender,,,1735|1737|416|2216,"Unknown, Begum Waheed in Sunlight on a Broken Column|Mrs Wadia, Unknown in Sunlight on a Broken Column|Hasan, Saira in Sunlight on a Broken Column|Municipal Board, Unknown in Sunlight on a Broken Column",2218,"Public Park in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2222,131,131,1,"At the last public meeting the crowd of common women",,Class,,,2215,"Common women, Unknown in Sunlight on a Broken Column",370,"Lucknow, India in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2225,131,131,2,"In Surmai we bring up our girls to be good wives",,,,,1712,"Unknown, Begum Waheeda in Sunlight on a Broken Column",2224,"Surmai in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2226,131,132,3,"Nadira had told me that a relation of the ruler's was wandering",,,,,317|433|1712,"Hasan, Laila in Sunlight on a Broken Column|Waheed, Nadira in Sunlight on a Broken Column|Unknown, Begum Waheeda in Sunlight on a Broken Column",370,"Lucknow, India in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2227,82,82,2,"I was rearranging books to keep myself occupied",,,,,317|2039|319,"Hasan, Laila in Sunlight on a Broken Column|Unknown, Zahra in Sunlight on a Broken Column|Unknown, Hakiman in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2228,82,82,3,"In Aunt Abida's room the maid-servants",,,,,315|2202|486|485|2075,"Hasan, Abida in Sunlight on a Broken Column|Maid-servants, Unknown in Sunlight on a Broken Column|Unknown, Hajjan Bibi in Sunlight on a Broken Column|Unknown, Ustaniji in Sunlight on a Broken Column|Unknown, Baba Mian in Sunlight on a Broken Column",2150,"Aunt Abida’s room in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",318|317|315|2029,"Hasan, Zahra in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Hasan, Abida in Sunlight on a Broken Column|Unknown, Majida in Sunlight on a Broken Column"
2229,82,83,4,"I looked up into her lost eyes",,,,,315|317,"Hasan, Abida in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",310,"Hasan, Syed Mohammad in Sunlight on a Broken Column"
2230,83,83,1,"In that wondering second I heard a strange noise",,,,,317,"Hasan, Laila in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",310,"Hasan, Syed Mohammad in Sunlight on a Broken Column"
2231,63,63,1,"A group of Sikh peasants gathered together",,Religion,Religion,FALSE,1481|758,"Sikh Peasants of Mano Majra, Unknown in Train to Pakistan|Singh, Meet in Train to Pakistan",1163,"Lambardar's House in Train to Pakistan",28,"Train to Pakistan",753,"Unknown, Iqbal in Train to Pakistan"
2233,63,64,2,"The youth felt a little abashed",,Religion,,FALSE,758|1481,"Singh, Meet in Train to Pakistan|Sikh Peasants of Mano Majra, Unknown in Train to Pakistan",1163,"Lambardar's House in Train to Pakistan",28,"Train to Pakistan",112|129|851,"Singh, Juggut in Train to Pakistan|Malli, Unknown in Train to Pakistan|Sultana Badmash, Unknown in Train to Pakistan"
2235,84,84,1,"The next day, after Uncle Hamid arrived",,,,,321,"Hasan, Hamid in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",310,"Hasan, Syed Mohammad in Sunlight on a Broken Column"
2236,64,64,1,"The temperature of the meeting went up suddenly",,Religion,Religion,FALSE,758|1481,"Singh, Meet in Train to Pakistan|Sikh Peasants of Mano Majra, Unknown in Train to Pakistan",1163,"Lambardar's House in Train to Pakistan",28,"Train to Pakistan",806|809,"Mano Majra Muslims, Unknown in Train to Pakistan|Refugees from Pakistan staying at Mano Majra temple, Unknown in Train to Pakistan"
2237,84,84,2,"By nightfall the house was as crowded",,,,,,,1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2238,84,84,3,"The zenana was busy with a life",,,,,2077|1105|2079,"Unknown, Women from the barbers' families in Sunlight on a Broken Column|Unknown, Guests in Sunlight on a Broken Column|Unknown, Women who had passed through the stage of tears and sighs in Sunlight on a Broken Column",65,"Zenana in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",481,"Hasan,Ahmed, in Sunlight on a Broken Column"
2239,84,84,4,"In the midst of the bustle there was",,,,,315|318|317|2080,"Hasan, Abida in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Unknown, Aunt Majida in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2240,84,85,5,"The Rani of Amirpur's arrival stirred the mourners",,,,,2081|2791|2792|2083|2085|2202|2090,"Unknown, Rani of Amirpur in Sunlight on a Broken Column|unknown, gossipers in Sunlight on a Broken Column|Unknown, Mourners in Sunlight on a Broken Column|Unknown, Rani Sahiba’s daughters in law in Sunlight on a Broken Column|Unknown, Rani Sahiba’s daughters in Sunlight on a Broken Column|Maid-servants, Unknown in Sunlight on a Broken Column|Unknown, Waiting women in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2242,85,85,1,"She embraced my aunts and Zahra and me",,,,,2082|2793|318|317|315|2080,"Unknown, Rani Sahiba in Sunlight on a Broken Column|Unknown, Laila's aunts in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Hasan, Abida in Sunlight on a Broken Column|Unknown, Aunt Majida in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",344,"Unknown, Nandi in Sunlight on a Broken Column"
2245,85,85,2,"All night a light burned in Baba Jan's room",,,,,2075,"Unknown, Baba Mian in Sunlight on a Broken Column",2145,"Baba Jan’s room in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",310,"Hasan, Syed Mohammad in Sunlight on a Broken Column"
2246,85,85,3,"In childhood on warm summer nights",,,,,476,"Ali, Karam in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2247,86,86,1,"Uncle Hamid and his wife Saira",,,,,321|416,"Hasan, Hamid in Sunlight on a Broken Column|Hasan, Saira in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",310,"Hasan, Syed Mohammad in Sunlight on a Broken Column"
2249,52,52,1,"Hukum Chand sat on the veranda staring",,Religion,,FALSE,120,"Chand, Hukum in Train to Pakistan",1002,"Rest House in Train to Pakistan",28,"Train to Pakistan",753|112,"Unknown, Iqbal in Train to Pakistan|Singh, Juggut in Train to Pakistan"
2255,155,155,1,"Later, sitting by Zahra, watching the fireworks",,,,,317|2253,"Hasan, Laila in Sunlight on a Broken Column|Man who helps Laila at Baradari, Unknown in Sunlight on a Broken Column",2034,"Baradari in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2256,78,80,2,"The lambardar took two of the villagers with him",,Nation,Nation,TRUE,768|120|1468,"Singh, Banta in Train to Pakistan|Chand, Hukum in Train to Pakistan|Subinspector, Unknown in Train to Pakistan",1457,"Chundunnugger Police Station in Train to Pakistan",28,"Train to Pakistan",118|112|753,"Nooran, Unknown in Train to Pakistan|Singh, Juggut in Train to Pakistan|Unknown, Iqbal in Train to Pakistan"
2258,64,64,2,"The lambardar felt it was up to him",,Religion,,TRUE,768|1481,"Singh, Banta in Train to Pakistan|Sikh Peasants of Mano Majra, Unknown in Train to Pakistan",1163,"Lambardar's House in Train to Pakistan",28,"Train to Pakistan",2254|809,"Tenants, Unknown in Train to Pakistan|Refugees from Pakistan staying at Mano Majra temple, Unknown in Train to Pakistan"
2259,154,154,1,"I heard Naseer calling",,,,,317|2253|689,"Hasan, Laila in Sunlight on a Broken Column|Man who helps Laila at Baradari, Unknown in Sunlight on a Broken Column|Ali, Naseer in Sunlight on a Broken Column",2034,"Baradari in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2261,54,54,1,"For a week, Iqbal was left alone in his cell.",,,,FALSE,753|112|810,"Unknown, Iqbal in Train to Pakistan|Singh, Juggut in Train to Pakistan|Constables, Unknown in Train to Pakistan",1457,"Chundunnugger Police Station in Train to Pakistan",28,"Train to Pakistan",,
2263,153,153,1,"But I lost sight of Zahra when we",,,,,317,"Hasan, Laila in Sunlight on a Broken Column",2034,"Baradari in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2264,64,64,3,"The lambardar snubbed him You are a",,,Nation,TRUE,768|1481,"Singh, Banta in Train to Pakistan|Sikh Peasants of Mano Majra, Unknown in Train to Pakistan",1163,"Lambardar's House in Train to Pakistan",28,"Train to Pakistan",806|809,"Mano Majra Muslims, Unknown in Train to Pakistan|Refugees from Pakistan staying at Mano Majra temple, Unknown in Train to Pakistan"
2269,153,153,2,"There was a crowd milling towards long tables",,,,,2265|2266,"Crowd at Baradari, Unknown in Sunlight on a Broken Column|Bearers at Baradari, Unknown in Sunlight on a Broken Column",2034,"Baradari in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2270,153,153,3,"A tall fat man in a black achkan was shouting",,,,,2267|2265|2266|317,"Man in the black achkan at Baradari, Unknown in Sunlight on a Broken Column|Crowd at Baradari, Unknown in Sunlight on a Broken Column|Bearers at Baradari, Unknown in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",2034,"Baradari in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2271,153,154,4,"A scream died in my throat and I ran blindly towards",,,,,317|2253,"Hasan, Laila in Sunlight on a Broken Column|Man who helps Laila at Baradari, Unknown in Sunlight on a Broken Column",2034,"Baradari in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2272,80,82,1,"the subinspector remarked, casually addressing the table in front of him.",,Religion,Religion,FALSE,753|1468|112|2376,"Unknown, Iqbal in Train to Pakistan|Subinspector, Unknown in Train to Pakistan|Singh, Juggut in Train to Pakistan|Constable 5 who brings chair, Unknown in Train to Pakistan",1457,"Chundunnugger Police Station in Train to Pakistan",28,"Train to Pakistan",697|122|129|120,"50 Armed Policemen, Unknown in Train to Pakistan|Singh, Alam in Train to Pakistan|Malli, Unknown in Train to Pakistan|Chand, Hukum in Train to Pakistan"
2274,149,149,1,"The evening started badly for me",,,,,317|416,"Hasan, Laila in Sunlight on a Broken Column|Hasan, Saira in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2275,64,64,4,"The peasants thought about their problem",,,Religion,TRUE,768|1481,"Singh, Banta in Train to Pakistan|Sikh Peasants of Mano Majra, Unknown in Train to Pakistan",1163,"Lambardar's House in Train to Pakistan",28,"Train to Pakistan",809|806,"Refugees from Pakistan staying at Mano Majra temple, Unknown in Train to Pakistan|Mano Majra Muslims, Unknown in Train to Pakistan"
2276,149,149,2,"I froze with anger, and a sense of helplessness, but",,,,,317|318,"Hasan, Laila in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2277,149,149,3,"My aunts Majida and Abida sent for me to see how I looked",,,,,317|316|315|487|319|344|484|2202,"Hasan, Laila in Sunlight on a Broken Column|Hasan, Majida in Sunlight on a Broken Column|Hasan, Abida in Sunlight on a Broken Column|Unknown, Asad in Sunlight on a Broken Column|Unknown, Hakiman in Sunlight on a Broken Column|Unknown, Nandi in Sunlight on a Broken Column|Unknown, Saliman in Sunlight on a Broken Column|Maid-servants, Unknown in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2278,64,64,5,"Yes added another Kapoora and Gujjoo Matta were",,,Religion,TRUE,768|1481,"Singh, Banta in Train to Pakistan|Sikh Peasants of Mano Majra, Unknown in Train to Pakistan",1163,"Lambardar's House in Train to Pakistan",28,"Train to Pakistan",806|2254|2280|2283,"Mano Majra Muslims, Unknown in Train to Pakistan|Tenants, Unknown in Train to Pakistan|Matta, Gujjoo in Train to Pakistan|Unknown, Kapoora in Train to Pakistan"
2284,150,150,1,"English women, elaborately gowned and groomed,",,,,,2281|2282,"English women at Baradari, Unknown in Sunlight on a Broken Column|Indian Women at Baradari, Unknown in Sunlight on a Broken Column",2034,"Baradari in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2285,150,150,2,"Rich and poor, the Taluqdars of Oudh had gathered",,,Class,,2030,"Taluqdars, Unknown in Sunlight on a Broken Column",2034,"Baradari in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2290,71,74,1,"The next morning we were told we could not go",,Religion,Religion,,317|318|483|484|316|315,"Hasan, Laila in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Unknown, Ramzano in Sunlight on a Broken Column|Unknown, Saliman in Sunlight on a Broken Column|Hasan, Majida in Sunlight on a Broken Column|Hasan, Abida in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",310|2017|2357|2361,"Hasan, Syed Mohammad in Sunlight on a Broken Column|Laila's nursemaid, Hakiman Bua in Sunlight on a Broken Column|Laila's grandmother, Unknown in Sunlight on a Broken Column|Ramzano and Saliman's mother, Unknown in Sunlight on a Broken Column"
2292,151,151,1,"I sat next to Zahra who pointed out friends and acquaintances",,,,,317|318|2287|2288|2289|1737|1735|2291,"Hasan, Laila in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Commissioner of the Division, Unknown in Sunlight on a Broken Column|Wife of the Commissioner of the Division, Unknown in Sunlight on a Broken Column|Deputy Inspector-General, Unknown in Sunlight on a Broken Column|Mrs Wadia, Unknown in Sunlight on a Broken Column|Unknown, Begum Waheed in Sunlight on a Broken Column|Rani of Shahpur, Unknown in Sunlight on a Broken Column",2034,"Baradari in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2294,86,87,2,"At the end of the last century Baba Jan",,,,,,,1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",310|321|416|2101|913,"Hasan, Syed Mohammad in Sunlight on a Broken Column|Hasan, Hamid in Sunlight on a Broken Column|Hasan, Saira in Sunlight on a Broken Column|Unknown, Kamal in Sunlight on a Broken Column|Hasan, Saleem in Sunlight on a Broken Column"
2296,87,87,1,"Aunt Saira was Uncle Hamid's echo",,,,,416,"Hasan, Saira in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",321|2101|913|2795,"Hasan, Hamid in Sunlight on a Broken Column|Unknown, Kamal in Sunlight on a Broken Column|Hasan, Saleem in Sunlight on a Broken Column|Unknown, Saira's Indian friends in Sunlight on a Broken Column"
2297,87,87,2,"In Aunt Abida's eyes was the look of",,,,,315|317,"Hasan, Abida in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2298,87,87,3,"By late afternoon all arrangements",,,,,2796|2797,"Unknown, The men in Sunlight on a Broken Column|Unknown, Laila's ancestors in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2301,87,87,5,"We started an hour later for Hasanpur",,,,,,,1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2304,88,88,1,"Zahra and I sat near the curtained",,,,,318|317|319,"Hasan, Zahra in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Unknown, Hakiman in Sunlight on a Broken Column",2305,"in the car in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",2799|894,"Unknown, Laila's grandfather in Sunlight on a Broken Column|Raja of Bhimnagar, Unknown in Sunlight on a Broken Column"
2307,88,88,2,"Bhimnagar Palace fascinated us because it was said to be",,,,,2107|2108|2109|2110|2096,"Unknown, Englishman in Sunlight on a Broken Column|Unknown, King of Oudh in Sunlight on a Broken Column|Unknown, Nawab in Sunlight on a Broken Column|Unknown, Beautiful courtesan mistress in Sunlight on a Broken Column|Rani of Bhimnagar, Unknown in Sunlight on a Broken Column",2309,"Bhimnagar Palace in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2308,82,83,1,"The tonga left Chundunnugger in the afternoon",,,,,740|112|753|2378,"Unknown, Bhola in Train to Pakistan|Singh, Juggut in Train to Pakistan|Unknown, Iqbal in Train to Pakistan|Armed constable who accompanied Jugga and Iqbal, Unknown in Train to Pakistan",701,"Mano Majra in Train to Pakistan",28,"Train to Pakistan",,
2311,88,89,3,"The car turned past the ruined, shell-holed walls",,,,,,,2305,"in the car in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",2928,"Unknown, The king's favourite wife in Sunlight on a Broken Column"
2312,89,89,1,"We came to a delicate whispering grove",,,,,2929|318|319,"unknown, Children in the park in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Unknown, Hakiman in Sunlight on a Broken Column",2305,"in the car in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",2799,"Unknown, Laila's grandfather in Sunlight on a Broken Column"
2314,89,90,2,"We became silent. And then the",,,,,317|318|2111|2112,"Hasan, Laila in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Unknown, British soldiers in Sunlight on a Broken Column|Unknown, Anglo-Indian girls in Sunlight on a Broken Column",2305,"in the car in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",2081|2793,"Unknown, Rani of Amirpur in Sunlight on a Broken Column|Unknown, Laila's aunts in Sunlight on a Broken Column"
2315,90,90,1,"Mrs. Martin used to bring me to",,,,,317|317,"Hasan, Laila in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",2317,"garden in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2318,90,91,2,"We drove past palaces that were now",,,,,318|317|319,"Hasan, Zahra in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Unknown, Hakiman in Sunlight on a Broken Column",2305,"in the car in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",2114|2115,"English people, Unknown in Sunlight on a Broken Column|Unknown, White soldiers in Sunlight on a Broken Column"
2319,91,91,1,"The car turned along the road by the",,,,,2930|318|317|319,"Unknown, Washermen in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Unknown, Hakiman in Sunlight on a Broken Column",2305,"in the car in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",487,"Unknown, Asad in Sunlight on a Broken Column"
2321,92,93,1,"The car moved faster and we turned",,,,,,,2305,"in the car in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",2933|2934|2118|2119,"Unknown, Aurangzeb in Sunlight on a Broken Column|Unknown, Nawab-Viziers in Sunlight on a Broken Column|Unknown, Peasants in Sunlight on a Broken Column|unknown, Women in dusty swirling skirts in Sunlight on a Broken Column"
2322,93,93,1,"Eight miles out of town we passed",,,,,,,2164,"House and garden built by Raja Hasan Ahmad in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",481,"Hasan,Ahmed, in Sunlight on a Broken Column"
2323,93,93,2,"Soon we were turning in on Hasanpur road",,,,,,,2147,"Hasanpur in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2324,93,93,3,"The car crossed a culvert",,,,,,,2305,"in the car in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2325,93,94,4,"We crossed the high, wooden lintel",,,,,,,2166,"Hasan family house in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2326,95,95,1,"The house was crowded not only with relatives",,,,,,,2166,"Hasan family house in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2327,95,95,2,"Zahra and I were soon surrounded by cousins",,,,,,,2166,"Hasan family house in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2328,95,96,3,"It was Zainab, brought up",,,,,,,2147,"Hasanpur in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2329,96,96,1,"Zainab's grandmother had been a dancing girl.",,,,,,,2147,"Hasanpur in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2331,96,96,2,"After some time Zahra, Zainab and I",,,,,,,2166,"Hasan family house in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2332,181,181,2,"Coolies panted up the steep slopes",,Class,,FALSE,1041,"Unknown, Coolies in Sunlight on a Broken Column",1950,"Lawn in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2333,96,97,3,"She smiled, and moving with",,,,,,,2166,"Hasan family house in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2334,152,152,1,"When the President of the Association began to read the address",,,,,2330|416|1737|1735|2030|317,"President of the Taluqdar Association, Unknown in Sunlight on a Broken Column|Hasan, Saira in Sunlight on a Broken Column|Mrs Wadia, Unknown in Sunlight on a Broken Column|Unknown, Begum Waheed in Sunlight on a Broken Column|Taluqdars, Unknown in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",2034,"Baradari in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2335,97,97,1,"Nandi said, ""We poor people get a",,,,,,,65,"Zenana in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2336,65,65,1,"Before anyone could answer, another villager came",,,,FALSE,768|998|852|1481,"Singh, Banta in Train to Pakistan|Baksh, Mullah Imam in Train to Pakistan|Dina, Khair in Train to Pakistan|Sikh Peasants of Mano Majra, Unknown in Train to Pakistan",1163,"Lambardar's House in Train to Pakistan",28,"Train to Pakistan",1481,"Sikh Peasants of Mano Majra, Unknown in Train to Pakistan"
2337,97,97,2,"""Hold your wicked tongue, Nandi",,,,,,,2166,"Hasan family house in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2339,98,98,1,"Zahra and I asked for permission",,,,,,,2166,"Hasan family house in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
2340,98,98,2,"Nandi walked ahead of us carrying",,,,,,,2342,"through the doors built in the courtyard walls in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
