Event H-ID,Start page event,End page event,Page Event Number,Line,Narrative Status,Conflict,Harmony,Religious Syncretism,Partition,Location of Event (Text place) H-ID,Location of Event RecordTitle,Character(s) mentioned H-ID,Character(s) mentioned RecordTitle
1408,43,44,3,The meeting in the gurdwara had a melancholic,,,Religion,,,705,Gurudwara in Train to Pakistan,120,"Chand, Hukum in Train to Pakistan"
1409,176,178,1,As Kemal was on leave only for a,,,,,FALSE,926,Hasan Home in the Hills in Sunlight on a Broken Column,1083|894|325|325|1070|1069,"Waliuddin, Sheikh in Sunlight on a Broken Column|Raja of Bhimnagar, Unknown in Sunlight on a Broken Column|Agarwal, Sita in Sunlight on a Broken Column|Agarwal, Sita in Sunlight on a Broken Column|Dr. Lal, Unknown in Sunlight on a Broken Column|Mrs. Lal, Unknown in Sunlight on a Broken Column"
1410,178,180,1,Kemal sat staring out of the window.,,,,,FALSE,926,Hasan Home in the Hills in Sunlight on a Broken Column,416|932|933|931,"Hasan, Saira in Sunlight on a Broken Column|Hill people, Unknown in Sunlight on a Broken Column|Coolies, Unknown in Sunlight on a Broken Column|Gardener, Unknown in Sunlight on a Broken Column"
1413,180,180,1,"Saleem stamped up the stairs into the room,",,,,,FALSE,1320,"Home of Imam Deen the oilman, Muridpur in Tamas",416,"Hasan, Saira in Sunlight on a Broken Column"
1414,44,44,1,"A few minutes later, villagers with bundles of",,Religion,,,TRUE,750,Outside the Village on the Station Side in Train to Pakistan,,
1415,44,45,2,Banta Singh was surrounded by eager villagers,,,Religion,,TRUE,750,Outside the Village on the Station Side in Train to Pakistan,763,"Sikh Soldier 2 (officer), Unknown in Train to Pakistan"
1417,30,30,1,Meet Singh had gone out to the fields carrying,,,,,,1419,Fields in Train to Pakistan,,
1420,30,30,2,Iqbal had slept through the rumble,,,,,,705,Gurudwara in Train to Pakistan,,
1421,30,30,3,"Two constables came into the gurdwara,",,,,,,705,Gurudwara in Train to Pakistan,753,"Unknown, Iqbal in Train to Pakistan"
1422,30,30,4,They shook Iqbal rudely. He sat up rubbing his eyes,,,,,,705,Gurudwara in Train to Pakistan,,
1423,30,30,5,He collected his things and went down the stairs,,,,,,705,Gurudwara in Train to Pakistan,,
1427,30,30,6,Bhai Meet Singh came back vigorously brushing his teeth,,,,,,705,Gurudwara in Train to Pakistan,,
1429,30,31,7,Meet Singh maintained a casual indifference.,,,,,,705,Gurudwara in Train to Pakistan,,
1430,31,31,1,"‘I am ready,’ he announced,",,,,,,705,Gurudwara in Train to Pakistan,,
1431,31,32,2,a posse of ten men was sent to arrest Juggut Singh,,,,,,938,Juggut's House in Train to Pakistan,,
1433,32,33,1,Juggut Singh’s mother came in and saw her courtyard full of armed policemen,,,,,,938,Juggut's House in Train to Pakistan,,
1435,33,34,1,Iqbal and the two constables joined Juggut Singh’s party by the river.,,,,,,1001,River Bank in Train to Pakistan,,
1436,34,34,1,Juggut Singh looked at the prisoner beside him several times.,,,,,,1001,River Bank in Train to Pakistan,,
1437,34,34,2,When the police brought in the prisoners the subinspector,,,,,,1002,Rest House in Train to Pakistan,,
1438,35,35,1,the subinspector peered through the wire-gauze door.,,,,,,1002,Rest House in Train to Pakistan,112|753,"Singh, Juggut in Train to Pakistan|Unknown, Iqbal in Train to Pakistan"
1439,66,66,2,Sikh and Muslim villagers fell into each other’s arms and wept like children.,,,Religion,,TRUE,1163,Lambardar's House in Train to Pakistan,,
1443,9,10,1,"One heavy night in August of that year, five men emerged from a keekar grove not far from Mano Majra",,Class,,,FALSE,1441,Keekar Grove near Mano Majra in Train to Pakistan,1475,"Dacoits including Malli who later get arrested., Unknown in Train to Pakistan"
1444,35,36,2,The subinspector thought it best not to speak to him.,,,,,,1002,Rest House in Train to Pakistan,,
1447,36,36,1,He went back to the rest house to report,,,,,,1002,Rest House in Train to Pakistan,,
1448,66,66,6,"Nooran went out in the rain. She passed many people in the lanes, going about with gunny bags covering their heads and shoulders.",,,,,,701,Mano Majra in Train to Pakistan,,
1449,36,37,2,Iqbal and Jugga were taken to Chundunnugger police station in a tonga.,,,,,,1450,Enroute Chundunnugger in Train to Pakistan,,
1451,37,37,1,"On the day of Independence,",,Religion,,,TRUE,1450,Enroute Chundunnugger in Train to Pakistan,804|1455,"Baluchi and Pathan soldiers from Pakistan army, Unknown in Train to Pakistan|Sikh Troops, Unknown in Train to Pakistan"
1456,67,67,4,"The girl went down on her knees, clasped the old woman’s legs and began to sob.",,,,,,938,Juggut's House in Train to Pakistan,,
1458,67,67,6,Jugga’s mother helped Nooran up and the two sat down on the charpai. Nooran stopped sobbing.,,,Religion,,,938,Juggut's House in Train to Pakistan,,
1459,38,38,1,The party reached Chundunnugger after noon.,,,,,,1457,Chundunnugger Police Station in Train to Pakistan,,
1460,38,38,2,Jugga’s arrival was the subject of much hilarity,,,,,,1457,Chundunnugger Police Station in Train to Pakistan,,
1461,68,68,1,Jugga’s mother sat on her charpai staring into the dark for several hours.,,,,,,938,Juggut's House in Train to Pakistan,,
1463,68,68,2,Imam Baksh came back from his round of Muslim homes before Nooran had returned. Nothing had been packed.,,,,,,1170,Imam Baksh's House in Train to Pakistan,118,"Nooran, Unknown in Train to Pakistan"
1464,39,39,1,"After his midday meal, Iqbal lay down on the charpai",,,,,,1457,Chundunnugger Police Station in Train to Pakistan,,
1465,45,45,1,The villagers dispersed to their rooftops,,,,,,751,Rooftops in Train to Pakistan,998,"Baksh, Mullah Imam in Train to Pakistan"
1466,39,40,2,"In the evening a policeman came to Iqbal’s cell, carrying another chair.",,Religion,,,TRUE,1457,Chundunnugger Police Station in Train to Pakistan,,
1467,68,68,4,She lit a fire in the hearth to bake a few chapattis for the next day. Within half an hour she had done the cooking.,,,,,,1170,Imam Baksh's House in Train to Pakistan,,
1469,68,68,6,The convoy came to a halt outside the village.,,,,,,1218,Peepul Tree near the Temple in Train to Pakistan,,
1472,40,41,1,He opened the adjoining one behind which Jugga was locked.,,,,,,1457,Chundunnugger Police Station in Train to Pakistan,1475,"Dacoits including Malli who later get arrested., Unknown in Train to Pakistan"
1474,45,45,2,The day’s happenings cast their gloom on the,,Class,,,,1002,Rest House in Train to Pakistan,,
1477,68,68,7,The Muslim was joined by the Pathan soldiers. He sent them out in batches of three to knock at every door and ask the Muslims to come out,,,,,TRUE,1218,Peepul Tree near the Temple in Train to Pakistan,806,"Mano Majra Muslims, Unknown in Train to Pakistan"
1478,69,69,2,The news that the Mano Majra Muslims were going to Pakistan came as a surprise.,,,,,TRUE,1218,Peepul Tree near the Temple in Train to Pakistan,,
1480,69,69,6,Sikh peasants who had stood apart heard the order and went up to the Sikh officer for advice.,,,,,,1218,Peepul Tree near the Temple in Train to Pakistan,,
1484,45,46,3,Within the dark chambers of his closed eyes,,Religion|Nation,,,TRUE,1489,A ghost train from Pakistan in Train to Pakistan,,
1485,70,70,5,"Malli’s gang and the refugees then unyoked the bullocks, looted the carts",,,,,TRUE,1218,Peepul Tree near the Temple in Train to Pakistan,,
1493,46,48,1,The bearer brought him a tray with whisky,,Class,,,,1002,Rest House in Train to Pakistan,782|785|985|987|1503|736|737,"Aunt of Hukum Chand, Unknown in Train to Pakistan|Wife of Hukum Chand, Unknown in Train to Pakistan|Orderly 1, Unknown in Train to Pakistan|Orderly 2, Unknown in Train to Pakistan|Hukum Chand's driver, Unknown in Train to Pakistan|Musician 1, Unknown in Train to Pakistan|Musician 2, Unknown in Train to Pakistan"
1502,88,89,1,One man keep watch from the balcony,,,,,,1531,The Two Storey house (Shambhu's Grandparents lived downstairs) in Tamas,,
1512,49,50,1,A roll of thunder woke Hukum Chand,,,,,,1002,Rest House in Train to Pakistan,,
1515,50,52,1,The noise of shuffling feet and coughing on,,Religion,Religion,,TRUE,1517,Veranda in Rest House in Train to Pakistan,763|803|804|806|809|110|112|129|1475|1475|118|810|753,"Sikh Soldier 2 (officer), Unknown in Train to Pakistan|Muslims of some villages, Unknown in Train to Pakistan|Baluchi and Pathan soldiers from Pakistan army, Unknown in Train to Pakistan|Mano Majra Muslims, Unknown in Train to Pakistan|Refugees from Pakistan staying at Mano Majra temple, Unknown in Train to Pakistan|Lal, Lala Ram in Train to Pakistan|Singh, Juggut in Train to Pakistan|Malli, Unknown in Train to Pakistan|Dacoits including Malli who later get arrested., Unknown in Train to Pakistan|Dacoits including Malli who later get arrested., Unknown in Train to Pakistan|Nooran, Unknown in Train to Pakistan|Constables, Unknown in Train to Pakistan|Unknown, Iqbal in Train to Pakistan"
1521,71,71,1,"In the afternoon, another villager went around",,Religion,Religion,,TRUE,128,Sutlej River in Train to Pakistan,768|1519,"Singh, Banta in Train to Pakistan|Singha, Daleep in Train to Pakistan"
1522,10,11,1,They came to the house of Lala Ram Lal. The leader nodded to one of the gunmen,,Class,,,FALSE,937,Lala Ram Lal's House in Train to Pakistan,112,"Singh, Juggut in Train to Pakistan"
1523,71,71,2,At last the lambardar went out to see for himself,,Religion,,,FALSE,128,Sutlej River in Train to Pakistan,,
1525,72,73,1,The four men stood on the embankment and surveyed the Sutlej,,Religion,Religion,,FALSE,128,Sutlej River in Train to Pakistan,,
1528,11,11,1,"At the first distant rumble, he slipped quietly off his charpai",,,,,FALSE,938,Juggut's House in Train to Pakistan,,
1532,11,12,2,‘Where are you going?’ Juggut Singh stopped. It was his mother,,,,,FALSE,938,Juggut's House in Train to Pakistan,,
1533,12,12,1,Juggut Singh opened the door and looked on both sides. There was no one about.,,,,,FALSE,128,Sutlej River in Train to Pakistan,,
1535,12,14,2,Suddenly a hand was on his eyes. ‘Guess who?’,,Gender,,,FALSE,128,Sutlej River in Train to Pakistan,1475,"Dacoits including Malli who later get arrested., Unknown in Train to Pakistan"
1537,14,14,1,"On the morning before the dacoity in Mano Majra,",,,,,FALSE,1002,Rest House in Train to Pakistan,,
1538,88,89,1,One man keep watch from the balcony,,,,,,1531,The Two Storey house (Shambhu's Grandparents lived downstairs) in Tamas,,
1539,14,15,2,At eleven o’clock a subinspector of police and two constables,,,,,FALSE,1002,Rest House in Train to Pakistan,,
1540,88,89,2,Their time to attack the Mlecchas had come.,,Religion,,,TRUE,1516,"The Gali, where Shambu's elderly Grandparents lived. in Tamas",,
1544,88,88,3,"He gave orders like a military commander, and kept all the members under strict control. Holding his hands behind his back, stooping slightly, lost in deep thought, he’d stroll up and down the stairs of the Arsenal exactly as Shivaji must have done before taking on Aurangzeb.",,,,,TRUE,1531,The Two Storey house (Shambhu's Grandparents lived downstairs) in Tamas,,
1545,88,88,4,"‘We don’t have enough wood. We can’t boil the oil.’ ‘There’s no coal either?’ ‘No, Chief.’",,,,,,1531,The Two Storey house (Shambhu's Grandparents lived downstairs) in Tamas,,
1546,88,88,5,"Ranvir paced about the room for a bit, his hands behind his back.",,,,,,1531,The Two Storey house (Shambhu's Grandparents lived downstairs) in Tamas,,
1547,88,88,6,"At this, the Chief, standing in the middle of the Arsenal, glared at Manohar; then he barked, ‘What are you looking at? Go get some wood, from wherever!’",,,,,,1531,The Two Storey house (Shambhu's Grandparents lived downstairs) in Tamas,,
1548,15,15,1,An hour later a large grey American car rolled in,,,,,FALSE,1002,Rest House in Train to Pakistan,,
1549,89,92,1,"Until now everything had been about preparation, but today the time had come to show their mettle on the battlefield. ‘Go out and give ’em hell in battle today, son!’",,Religion,,,TRUE,1516,"The Gali, where Shambu's elderly Grandparents lived. in Tamas",739,"Vrat, Master Dev, head of the akhara in Tamas"
1551,15,16,2,"‘Come along, Inspector Sahib, come in,’ said Hukum Chand.",,,,,TRUE,1002,Rest House in Train to Pakistan,,
1552,89,92,2,‘Show us the manoeuvre again. Pick up the knife from the windowsill!’,,Religion,,,TRUE,1531,The Two Storey house (Shambhu's Grandparents lived downstairs) in Tamas,739,"Vrat, Master Dev, head of the akhara in Tamas"
1554,16,16,1,The bearer brought a bottle of beer and put two glasses before Hukum Chand,,,,,FALSE,1002,Rest House in Train to Pakistan,,
1555,89,92,3,Indra would emerge from the doorway and attack the enemy,,Religion,,,,1516,"The Gali, where Shambu's elderly Grandparents lived. in Tamas",,
1556,16,17,2,He took off his turban and put it on the table. It was not like a Sikh turban,,,,,TRUE,1002,Rest House in Train to Pakistan,112|122|118,"Singh, Juggut in Train to Pakistan|Singh, Alam in Train to Pakistan|Nooran, Unknown in Train to Pakistan"
1558,89,92,4,The other two warriors came forward and put their eyes to the crack.,,Religion,,,,1516,"The Gali, where Shambu's elderly Grandparents lived. in Tamas",1506,"Khan, Nawabzada Jalal Khan in Tamas"
1560,90,92,1,An old man with a beard was walking towards the street.,,Religion,,,,1516,"The Gali, where Shambu's elderly Grandparents lived. in Tamas",1507,"Unknown, Miyan ji in Tamas"
1561,17,17,1,The two drank their beer and smoked till the bearer brought in lunch.,,,,,FALSE,1002,Rest House in Train to Pakistan,,
1562,90,92,2,‘Should I go?’ Indra asked the Chief suddenly.,,Religion,,,,1516,"The Gali, where Shambu's elderly Grandparents lived. in Tamas",1507,"Unknown, Miyan ji in Tamas"
1563,17,17,2,The subinspector noticed the magistrate nodding and stood up to take leave.,,,,,FALSE,1002,Rest House in Train to Pakistan,1503,"Hukum Chand's driver, Unknown in Train to Pakistan"
1564,90,92,3,"two men entered the gali, one after the other. One pushed a cycle and wore glasses.",,,,,,1516,"The Gali, where Shambu's elderly Grandparents lived. in Tamas",1508,"Chunilal, Babu in Tamas"
1565,90,92,4,...he sells perfumes and scented oils. He lives somewhere far away; he always passes this way at this time of day. He’s a Mleccha.’,,Religion,,,,1516,"The Gali, where Shambu's elderly Grandparents lived. in Tamas",1509,"Unknown, The Perfume Seller (Hawker) in Tamas"
1566,17,17,3,The sound of the car leaving the bungalow woke Hukum Chand from his sleep.,,,,,,1002,Rest House in Train to Pakistan,,
1567,91,92,1,"Ranvir winked to give the go-ahead, and Indra rushed outside.",,Religion,,,,1516,"The Gali, where Shambu's elderly Grandparents lived. in Tamas",1509,"Unknown, The Perfume Seller (Hawker) in Tamas"
1569,91,92,2,"‘Where do you live? Come, come along with me.",,Religion,,,,1571,Broken tomb of a pir at the bend of Shambhu's gali in Tamas,739,"Vrat, Master Dev, head of the akhara in Tamas"
1572,17,18,4,Hukum Chand shouted for his servant to get his bath ready and bring in hot water for shaving.,,,,,FALSE,1002,Rest House in Train to Pakistan,,
1573,18,18,1,The American car drove back into the driveway,,,,,FALSE,1002,Rest House in Train to Pakistan,,
1574,91,92,3,He grabbed hold of the handle of his switchblade.,,Religion,,,,1571,Broken tomb of a pir at the bend of Shambhu's gali in Tamas,1511,"Arjuna, From Mahabharata, Arjun in Tamas"
1575,18,18,2,Hukum Chand carefully examined himself in the mirror.,,,,,FALSE,1002,Rest House in Train to Pakistan,,
1576,18,19,3,"The party stood up to greet the magistrate. The two musicians salaamed,",,,,,FALSE,1002,Rest House in Train to Pakistan,,
1577,74,74,1,Meet Singh read the evening prayer,,,Religion,,FALSE,705,Gurudwara in Train to Pakistan,,
1578,19,19,1,The bearer brought out a hissing paraffin lamp which cast a bright bluish light.,,,,,FALSE,1002,Rest House in Train to Pakistan,,
1579,74,78,2,Two men walked into the courtyard and shouted,,Religion,Religion,,TRUE,705,Gurudwara in Train to Pakistan,,
1580,19,20,2,"'Sing anything else you know,’ ordered the magistrate with lordly condescension",,,,,FALSE,1002,Rest House in Train to Pakistan,,
1581,92,92,1,"He was dying, less from the wound in his side than from alarm and fear, and the shock of being attacked by an innocent boy",,Religion,,,,1571,Broken tomb of a pir at the bend of Shambhu's gali in Tamas,,
1582,20,20,1,Hukum Chand pulled her onto his lap and began to play with her hair.,,,,,FALSE,1002,Rest House in Train to Pakistan,,
1583,20,20,2,The musicians and the old woman got up.,,,,,FALSE,1002,Rest House in Train to Pakistan,1503,"Hukum Chand's driver, Unknown in Train to Pakistan"
1584,20,20,3,"‘Shall I serve dinner, sir?’",,,,,FALSE,1002,Rest House in Train to Pakistan,,
1585,20,21,4,‘Are you angry with me? You don’t want to talk to me?’,,,,,FALSE,1002,Rest House in Train to Pakistan,,
1596,105,105,1,"On entering the gurdwara, the women went and sat to the left.",,,,,,725,Local Gurdwaras in Tamas,,
1597,105,106,2,Weapons were being gathered in the long back veranda and in the priest’s room.,,,,,,725,Local Gurdwaras in Tamas,1236,"Singh, Sardar Hari in Tamas"
1598,106,106,2,"Bishan Singh the bead maker, who’d been put on",,,,,,1239,Khalsa Kitchen in Tamas,,
1599,106,106,3,The greatest fear of bombardment was to,,,,,,1242,Sheikh Ghulam Rasool's house in Tamas,,
1603,107,108,1,Suddenly a wave of excitement swept through the gurdwara,,,,,,725,Local Gurdwaras in Tamas,,
1604,108,109,2,Then he shared details about the current situation,,,,,,725,Local Gurdwaras in Tamas,1241|167|1247|1276|1025|1026|164,"Rasool, Sheikh Ghulam in Tamas|Deputy Commissioner, Richard in Tamas|Oilman, Rahim in Tamas|Oilman, Nabi in Tamas|Chaprasi's Pandit, Unknown in Tamas|Chaprasi's Pandit's wife, Unknown in Tamas|Dad, Mir in Tamas"
1608,54,55,1,After dinner when I went to my room I was surprised to find Asad waiting for me,,,,,,1991,House in Sunlight on a Broken Column,318,"Hasan, Zahra in Sunlight on a Broken Column"
1609,55,56,2,"""Were you talking about me, Asad Bhai?""",,Gender,,,,1991,House in Sunlight on a Broken Column,,
1625,56,57,2,She began to laugh but stopped short on seeing Hakiman Bua standing at the door,,,,,,1991,House in Sunlight on a Broken Column,,
1630,109,110,2,"At that very moment, while this uproar was taking",,,,,,1262,Butcher shops in Tamas,1269|146|150,"Dad, Allah in Tamas|Dutt, Dev in Tamas|Singh, Sohan in Tamas"
1631,251,251,1,Her daughter began to tell her,,,,,,1991,House in Sunlight on a Broken Column,,
1632,110,110,2,Just then a minor incident occurred,,Religion,,,,1262,Butcher shops in Tamas,1270,"Dei, Channan in Tamas"
1633,111,111,1,Gopal Singh the spy ran off screaming,,,,,,725,Local Gurdwaras in Tamas,1272,"Khan, Noor in Tamas"
1634,111,112,2,Evening began to fall.,,,,,,725,Local Gurdwaras in Tamas,,
1635,112,113,2,Just then the Nihang Sikh stationed,,Religion,,,,725,Local Gurdwaras in Tamas,1274|1276|1275,"Malang, Kalu in Tamas|Oilman, Nabi in Tamas|Butcher, Ashraf in Tamas"
1636,113,113,2,Baldev Singh suddenly thought of his mother.,,Religion,,,,1637,Galli to left of gurudwara in Tamas,,
1651,93,93,1,Nathu sat outside his room anxiously smoking one chillum after another.,,,,,,1645,Outside Nathu's Room in Tamas,,
1655,93,93,2,‘Should I tell my wife everything? She’s an intelligent woman.,,,,,,1645,Outside Nathu's Room in Tamas,219,"Committee Manager, Servant to Vet Sahib, Murad Ali in Tamas"
1659,93,93,3,Nathu thought of his father.,,,,,,1645,Outside Nathu's Room in Tamas,,
1660,93,94,3,A man walking along on the other side of the field stopped suddenly.,,,,,,1645,Outside Nathu's Room in Tamas,,
1661,93,93,4,Nathu’s wife came out of their room wiping her hands with the end of her sari.,,,,,,1645,Outside Nathu's Room in Tamas,,
1664,94,94,5,She came and stood in the doorway and placed her hand on the doorframe as she smiled softly.,,,,,,1663,Nathu's Room (Home) in Tamas,,
1665,94,95,6,Tell me the truth; swear on my head.,,,,,,1663,Nathu's Room (Home) in Tamas,,
1666,95,96,1,"Slowly, Nathu told her the whole story.",,Religion,,,,1663,Nathu's Room (Home) in Tamas,1640|219,"Unknown, Kalu the sweeper in Tamas|Committee Manager, Servant to Vet Sahib, Murad Ali in Tamas"
1669,96,96,2,Nathu’s wife froze.,,,,,,1663,Nathu's Room (Home) in Tamas,,
1670,96,96,3,"""On the road. It was a Hindu–Muslim riot. They say two men were killed.""",,Religion,,,TRUE,1663,Nathu's Room (Home) in Tamas,,
1671,96,96,4,Nathu’s wife got up and began sweeping the room mechanically,,,,,,1663,Nathu's Room (Home) in Tamas,,
1673,72,72,1,Hamida put on a grave face and sighed as the occasion demanded.,,,,,,559,Rattoval in Pinjar,,
1678,73,73,2,drawing back the sleeve of her left arm and showing the tattooed letters,,,,,,559,Rattoval in Pinjar,,
1680,73,73,3,They huddled together like a terrified herd of deer in a jungle cave,,,,,,355,Sakkar village in Pinjar,,
1681,74,74,1,"when Hamida’s father had died the year before, her mother had often named her",,,,,,355,Sakkar village in Pinjar,,
1687,75,75,1,She was convinced that no one would ever come for her.,,,,,,355,Sakkar village in Pinjar,,
1690,77,77,1,She saw in Lajo’s face the faces of all the members of the family from which she had been torn away.,,,,,,355,Sakkar village in Pinjar,,
1691,77,77,2,his eyes brimmed with tears,,,,,,355,Sakkar village in Pinjar,,
1692,77,77,3,"patted Lajo affectionately on the back, as an old father would pat his daughter",,,,,,355,Sakkar village in Pinjar,,
1693,78,78,1,only Hamida had never given up hope,,,,,,355,Sakkar village in Pinjar,,
1694,78,78,2,They shared their sorrows and tears.,,,,,,355,Sakkar village in Pinjar,,
1695,78,78,3,She made candy,,,,,,355,Sakkar village in Pinjar,,
1696,78,78,4,She made Lajo a new outfit of pure silk,,,,,,355,Sakkar village in Pinjar,580,"Sahukars, Lajo in Pinjar"
1697,79,79,1,Lajo could not raise her eyes to her husband’s,,,,,,863,Lahore in Pinjar,,
1698,79,79,2,The police van was ready,,,,,,863,Lahore in Pinjar,,
1699,79,79,3,Rashida’s face reflected both pride and humility,,,,,,863,Lahore in Pinjar,,
1700,80,80,1,She made her brother release her arm,,,,,,863,Lahore in Pinjar,,
1701,80,80,2,"The bus started on its journey, leaving the deserted road in clouds of dust",,,,,,863,Lahore in Pinjar,,
1702,79,79,4,All they could do was to cry like children,,,,,,863,Lahore in Pinjar,,
1706,129,129,1,I recognised Begum Waheed's and Mrs Wadia's chauffeurs smoking,,,,,,1991,House in Sunlight on a Broken Column,,
1715,132,132,1,Nadira was sure she had been removed from the list,,Gender,,,,370,"Lucknow, India in Sunlight on a Broken Column",,
1719,132,132,2,"A Muslim girl, from a strict purdah family",,,,,,370,"Lucknow, India in Sunlight on a Broken Column",,
1720,133,133,1,"When the foolish boy's money was spent, he yielded",,Religion,,,,370,"Lucknow, India in Sunlight on a Broken Column",,
1721,133,133,2,Because of communal feelings that had been roused,,Religion,,,,370,"Lucknow, India in Sunlight on a Broken Column",,
1740,133,133,3,She was not wicked,,Gender,,,,1991,House in Sunlight on a Broken Column,,
1833,135,135,1,Jumman was waiting in the inner courtyard,,,Religion,,,1991,House in Sunlight on a Broken Column,,
1841,135,135,2,It was only a few days that his wife had a still-born baby,,,,,,1991,House in Sunlight on a Broken Column,,
1847,135,136,3,They say she is possesed by devils,,Gender,,,,1991,House in Sunlight on a Broken Column,,
1852,136,136,1,The irons were cold in the little room,,,Religion,,,1991,House in Sunlight on a Broken Column,,
1862,136,136,2,"After her mother died on the 'evil' spirit,",,,,,,1991,House in Sunlight on a Broken Column,,
1867,136,137,3,She came to my room the night she returned.,,,Class,,,1991,House in Sunlight on a Broken Column,,
1886,220,220,1,I did not find it as difficult,,,,,,1876,Bazaar in Sunlight on a Broken Column,,
1887,221,224,1,We rode in silence up the short cut,,,,,,1880,Ridge in Sunlight on a Broken Column,,
1888,227,229,1,"She seldom spoke of Saliman, but one",,,,,,1991,House in Sunlight on a Broken Column,,
1889,230,237,1,I sat down at the other end of the sofa,,,,,,1991,House in Sunlight on a Broken Column,,
1890,239,242,1,It was five minutes after six when the,,,,,,427,University in Sunlight on a Broken Column,,
1891,243,247,1,Asad came up so softly behind me that,,,,,,1991,House in Sunlight on a Broken Column,,
1892,41,44,3,"The Secretary stood up, but he",,Religion,,,FALSE,720,"Temple, Congregation in Tamas",755,"Deputy Commissioner, Unknown in Tamas"
1893,44,44,1,"When he reached home, the philanthropic Chairman learned",,Religion,,,,1894,Chairman's house in Tamas,796,"Chairman's Son, Ranvir in Tamas"
1895,44,45,2,"At the same time that his father, the Chairman",,Religion,,,FALSE,1896,Galis in Tamas,741|808|811|1589|1590|1591|1594,"Chairman, Executive Committee, Unknown in Tamas|Rana, Pratap in Tamas|Unknown, Shivaji in Tamas|Cobbler, Unknown in Tamas|Tonga Driver, Unknown in Tamas|Ranvir's Classmate, Hamid in Tamas|Family living next door to Ranvir, Unknown in Tamas"
1897,45,45,1,Finally Master Dev Vrat stopped walking,,Religion,,,,1898,Gurkha Chowkidar's Room in Tamas,,
1899,45,46,2,Master Dev Vrat grabbed Ranvir by the arm,,,,,,1898,Gurkha Chowkidar's Room in Tamas,,
1900,46,46,1,"‘Ranvir!’ shouted Dev Vrat, slapping him across the face",,,,,,1898,Gurkha Chowkidar's Room in Tamas,,
1901,46,46,2,"Ranvir got up and stared at him with heavy, frightened eyes",,,,,,1898,Gurkha Chowkidar's Room in Tamas,,
1903,253,253,1,A few days after my return,,,,,,1991,House in Sunlight on a Broken Column,909|1796|1906,"Ali, Ghulam in Sunlight on a Broken Column|Nandi's father, Unknown in Sunlight on a Broken Column|Nandi's husband, Unknown in Sunlight on a Broken Column"
1904,46,46,3,He pressed down the chicken’s leg with his right boot,,,,,,1898,Gurkha Chowkidar's Room in Tamas,,
1907,46,46,4,"Just then, he noticed that Ranvir had vomited",,,,,,1898,Gurkha Chowkidar's Room in Tamas,,
1910,46,46,5,"Five minutes later, when he returned, a chicken lay floundering",,,,,,1898,Gurkha Chowkidar's Room in Tamas,,
1912,46,46,6,"‘Get up, Ranvir!’ said Master Dev Vrat",,,,,,1898,Gurkha Chowkidar's Room in Tamas,,
1916,265,266,1,"I am frightened, Laila, not of them",,,,,,1914,Kemal's room in Sunlight on a Broken Column,,
1930,273,274,1,Tears welled up in his sunken eye,,,,,,1915,Ashiana in Sunlight on a Broken Column,920|310,"Husain, Ameer in Sunlight on a Broken Column|Hasan, Syed Mohammad in Sunlight on a Broken Column"
1931,276,276,276,For Kemal's marriage had been,,,,,,1915,Ashiana in Sunlight on a Broken Column,416,"Hasan, Saira in Sunlight on a Broken Column"
1940,47,47,1,"Everything had been arranged, but the youths",,Religion,,,,1942,Store-house/Youth Wing Gathering in Tamas,205|1943,"Sweet-Seller, Kubra in Tamas|Mastaram, Bodhraj's father, Babu in Tamas"
1945,48,48,1,The street was empty,,Religion,,,,1946,Sweet Shop in Tamas,,
1947,48,48,2,When they reached the doorway of the house,,,,,,1948,Outside the House (Store-House/Gathering of the Youth) in Tamas,205,"Sweet-Seller, Kubra in Tamas"
1953,60,60,1,Hamida told Rashida all she had done,,,,,FALSE,334,Rashida's home in Pinjar,297|248,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar"
1954,60,60,2,She had left her home with her brother,,Gender|Religion,,,FALSE,559,Rattoval in Pinjar,282|580,"Chand, Ram in Pinjar|Sahukars, Lajo in Pinjar"
1955,61,61,1,Rashida and his wife made a plan.,,,,,FALSE,559,Rattoval in Pinjar,248|297|595,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Lajo's Mother-in-Law, Old Woman in Pinjar"
1956,61,61,2,Hamida would boldly enter their courtyards,,,,,FALSE,559,Rattoval in Pinjar,248,"Sahukars, Pooro in Pinjar"
1957,61,61,3,She peered into the rooms,,,,,FALSE,559,Rattoval in Pinjar,248,"Sahukars, Pooro in Pinjar"
1969,62,62,1,A young girl emerged from inside a room,,,,,FALSE,2754,Lajo's House in Pinjar,,
1971,58,58,1,"Asad seemed resigned, except that one morning",,,,,,1991,House in Sunlight on a Broken Column,,
1982,62,62,2,Hamida pressed one of her fingers,,,,,FALSE,2754,Lajo's House in Pinjar,248|580,"Sahukars, Pooro in Pinjar|Sahukars, Lajo in Pinjar"
1986,62,62,3,Hamida quickly grabbed her arm,,,,,FALSE,2754,Lajo's House in Pinjar,248|580,"Sahukars, Pooro in Pinjar|Sahukars, Lajo in Pinjar"
1990,138,138,1,For some time there was a strangeness between,,,,,,1991,House in Sunlight on a Broken Column,,
1993,138,138,2,Her anger was not lessened by the fact that my uncle,,,,,,1991,House in Sunlight on a Broken Column,,
